system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
0_0,0.24226522,0.24035068,0.24780953,0.26349318,0.33604604,0.3213452,0.2858149,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.15179773,0.13645492,0.13297728,0.12671584,0.2890901,0.24608767,0.16709831,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.17162634,0.15742421,0.14721425,0.14060795,0.24567533,0.19980185,0.14615831,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.13103727,0.109304264,0.10183598,0.07509991,0.40406543,0.20398937,0.100393414,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.13389327,0.11344998,0.1080241,0.1023834,0.2894052,0.23821445,0.1494573,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.13025922,0.10867907,0.09786366,0.07837479,0.34404194,0.18170254,0.08705418,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.13322191,0.11028307,0.08997895,0.07275221,0.23775893,0.11794139,0.067288086,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.13443062,0.11248948,0.0955613,0.08003287,0.35516247,0.14081694,0.07035733,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.13452607,0.113974616,0.108037874,0.108791076,0.32411954,0.18438233,0.09346258,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.15751228,0.14092545,0.14645752,0.15081799,0.35654646,0.33209592,0.24764219,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.1286424,0.10544178,0.09693137,0.07858169,0.32469553,0.15454651,0.07454079,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.13326688,0.11366949,0.101325795,0.076853536,0.28431556,0.15838248,0.079109825,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.13225716,0.11218927,0.10294033,0.08663436,0.31553984,0.18738125,0.102777004,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.12705551,0.10306059,0.08677536,0.06185287,0.30499807,0.15638927,0.077125125,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.1323703,0.10965513,0.09946855,0.090616256,0.3444481,0.20018755,0.08682431,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.13109203,0.11070739,0.09659989,0.07551716,0.34434992,0.16239533,0.083806366,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.13283452,0.11214158,0.09730581,0.08154571,0.32045588,0.17288604,0.09212651,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.13245526,0.109024316,0.10073957,0.08050173,0.31620592,0.18950349,0.09149352,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.12699659,0.10294492,0.08237669,0.061326552,0.40567318,0.12796219,0.05708327,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.13196741,0.111804806,0.097157,0.064882636,0.35017645,0.17634176,0.07508969,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.12918763,0.106504425,0.09603603,0.07292786,0.3652199,0.19548056,0.09731145,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.13146469,0.10968661,0.097030506,0.0672937,0.45543313,0.20430279,0.09969804,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.13038328,0.10866524,0.10255636,0.083499596,0.3193581,0.19032867,0.09599064,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.12627956,0.1017551,0.08439639,0.057285156,0.336613,0.15687045,0.06478552,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.12498449,0.10203014,0.08853263,0.0656955,0.3693353,0.15734097,0.063418835,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.1310138,0.11036993,0.09908228,0.070618786,0.47250023,0.1616806,0.06956937,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.13189253,0.10971214,0.09981467,0.06474565,0.5408089,0.20204099,0.08606019,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.1317024,0.10769729,0.097618595,0.062047582,0.35664618,0.14089416,0.067632884,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.12706679,0.1030853,0.08951976,0.057954263,0.43138504,0.15060008,0.06005463,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.12961489,0.10685254,0.09304969,0.073866606,0.25763464,0.16553327,0.07730056,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.13089894,0.109598294,0.095333785,0.078217104,0.26592135,0.113900736,0.05860413,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.12481639,0.10199921,0.08416059,0.06918853,0.2899467,0.18757708,0.10688884,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.118994966,0.09451346,0.07831945,0.04941604,0.46745348,0.20296523,0.078682676,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.1301581,0.10541254,0.09986282,0.065340675,0.4342834,0.20479622,0.0919187,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.1290026,0.10709214,0.09901281,0.08273913,0.31987268,0.16765428,0.0782496,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.13766544,0.10763024,0.07744337,0.058649335,0.122365594,0.09453341,0.05145279,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.12791254,0.105503365,0.089178905,0.06320688,0.33479813,0.18035331,0.086302444,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.13654365,0.1118842,0.088818066,0.07061767,0.2295531,0.14961217,0.07889652,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.13176195,0.10841504,0.092744015,0.06944595,0.30727285,0.17669494,0.08790092,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.1252422,0.102013946,0.09841967,0.07682298,0.39691454,0.25283393,0.12774983,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.13141848,0.11006989,0.09857307,0.078004956,0.3380889,0.19719703,0.10151672,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.12907527,0.10631329,0.09638004,0.07188912,0.3411731,0.20756038,0.105515115,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.1280494,0.103254914,0.086618364,0.061272115,0.34243715,0.15361853,0.06739956,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.13681418,0.1125139,0.09267218,0.06813158,0.31448698,0.15103208,0.07208487,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.12882268,0.104452506,0.091497496,0.062490053,0.4293288,0.19080557,0.07812746,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.1306989,0.1085943,0.08656683,0.06646074,0.34010863,0.15301782,0.06516675,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.13463809,0.11401271,0.1092325,0.0862279,0.38398603,0.21479367,0.11187317,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.13593271,0.11175872,0.11283124,0.09737377,0.3223663,0.20164368,0.11293794,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.13385828,0.11380569,0.09657518,0.08628513,0.21602342,0.1886026,0.10869495,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.12439957,0.1041392,0.09192514,0.07009693,0.3042958,0.16846134,0.09209603,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.12421222,0.10780039,0.109143615,0.09903275,0.37430766,0.24136637,0.13832836,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.12838389,0.10643412,0.092822716,0.076060176,0.32391155,0.20423278,0.10472843,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.1308059,0.107283905,0.08935411,0.064942405,0.22533262,0.11775696,0.07004964,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.14592451,0.112607494,0.081083536,0.05601643,0.15611345,0.081746295,0.044524282,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.11940241,0.09411889,0.07253356,0.04798618,0.3006589,0.14205432,0.055849943,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.116066724,0.09078352,0.07069421,0.047647417,0.30068845,0.13752532,0.05765731,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.12354535,0.0982219,0.07056162,0.0509549,0.2390599,0.120979555,0.052206505,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.12881738,0.10492753,0.079806626,0.063506514,0.28263667,0.1855429,0.0806552,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.12554985,0.099044204,0.07234393,0.049282253,0.27978635,0.12474613,0.051778592,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.12344286,0.09820372,0.07063043,0.047223665,0.21735439,0.13378242,0.056521,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.1427378,0.10834448,0.06868887,0.046652764,0.11648986,0.06298811,0.04412671,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.124697424,0.10048345,0.08848354,0.061634667,0.39829168,0.18511865,0.079077706,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.13134976,0.10717281,0.09180011,0.07199769,0.27825537,0.16138956,0.07542694,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.119878955,0.09595741,0.07644907,0.052686676,0.2855435,0.16539334,0.06864377,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.121263884,0.096778125,0.079396784,0.056291025,0.25124627,0.16302872,0.068192735,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.12704957,0.103147715,0.08568746,0.058791444,0.35925817,0.17518947,0.07547897,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.1302154,0.104781695,0.07648557,0.05650562,0.24117392,0.14741802,0.06888368,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.11612143,0.08877373,0.07831945,0.054449465,0.36178604,0.19722316,0.08153796,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.1143053,0.09367156,0.077795744,0.05707401,0.37683046,0.2061925,0.09415865,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.12825724,0.10786092,0.0964081,0.08431945,0.250577,0.20095369,0.12081599,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.13620806,0.11648789,0.10778466,0.10580542,0.3859145,0.12499755,0.08193606,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.120366335,0.09547826,0.07505594,0.04823175,0.31064242,0.14573553,0.059951402,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.13049272,0.103123024,0.087414384,0.06416556,0.33458158,0.17140907,0.07485084,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,0.121475,0.09617326,0.08220573,0.054728925,0.3847752,0.17747733,0.07903758,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0.13352495,0.11247343,0.10546915,0.09376076,0.27031273,0.21033049,0.13337398,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.12765972,0.10720356,0.097281456,0.07848716,0.34228367,0.24516484,0.12262137,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.12511186,0.10248872,0.0917743,0.07012737,0.3843858,0.22561163,0.11505228,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.13036954,0.108724535,0.08856702,0.07000664,0.33254066,0.15895106,0.07476428,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.12639195,0.101993605,0.09052408,0.064447,0.39521176,0.20299065,0.099490926,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.11488487,0.09101933,0.07345892,0.05056888,0.34395456,0.17308721,0.07051727,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.136731,0.115408525,0.10803405,0.091264024,0.2939381,0.20937893,0.13049382,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.13026235,0.10294814,0.08450143,0.0630402,0.35489768,0.1706358,0.0775195,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.1342615,0.11144255,0.096908,0.08191762,0.2878711,0.19864379,0.09112568,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.12298753,0.09914689,0.09124809,0.06035581,0.44027176,0.21561742,0.09558931,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.13316998,0.10896258,0.10463856,0.079255566,0.3997817,0.20442839,0.09797753,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.13693357,0.11551287,0.09050925,0.090623535,0.26284227,0.18560192,0.117600136,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.12870689,0.10402159,0.09797949,0.06683363,0.4037675,0.18330684,0.08237203,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.13122673,0.10973183,0.09891008,0.07392385,0.4196938,0.21256705,0.103742965,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.12765113,0.10439054,0.08790009,0.06825808,0.29276815,0.17503324,0.08872289,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.12754758,0.10981628,0.091694884,0.07468941,0.34739313,0.15544845,0.07584193,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.12800264,0.10511229,0.09459969,0.064199924,0.36255142,0.20466374,0.09540921,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.12365511,0.09967218,0.09412383,0.057573702,0.51789707,0.19106144,0.07990765,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.12800631,0.10588098,0.096775495,0.06801276,0.38759005,0.1940412,0.08675212,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.130588,0.10998002,0.09797916,0.07709047,0.3734274,0.17983772,0.08379234,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.13060522,0.1113298,0.10437743,0.089165986,0.30561516,0.23461986,0.13876806,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,0.12735003,0.10744767,0.09313199,0.07778281,0.24727014,0.17062363,0.09007649,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.14719999,0.12442222,0.10400614,0.084214315,0.24780858,0.18790114,0.09693655,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.1221754,0.09848126,0.07897439,0.04874048,0.23470998,0.10313271,0.044336822,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,0.12421745,0.09954079,0.0805489,0.053630315,0.39046538,0.12179652,0.047778398,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.12998815,0.10911089,0.092681915,0.08502975,0.3475683,0.17789237,0.089001626,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.12278643,0.10163659,0.09335076,0.06827712,0.3833935,0.21227829,0.09669836,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.15485631,0.13873458,0.133636,0.1465293,0.23623815,0.2669747,0.22376484,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.12728137,0.10498993,0.09669143,0.06507807,0.46817642,0.22636482,0.10053338,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.1343862,0.11049176,0.09843878,0.09111607,0.3141738,0.17250636,0.095129006,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.13076931,0.10654191,0.089809775,0.061465263,0.39071843,0.1501646,0.06408529,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.13262846,0.11015133,0.08594012,0.071945086,0.28019503,0.13537256,0.069940425,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.1315248,0.10950348,0.09711835,0.08347735,0.30260056,0.18494424,0.1012944,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.13283332,0.11186097,0.10270007,0.083672516,0.38416696,0.21247938,0.119702384,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.13044885,0.10795316,0.0936765,0.07525812,0.3156853,0.20785284,0.11144782,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.12521343,0.10422969,0.09474093,0.079618536,0.30392766,0.24446748,0.13261564,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,0.13400036,0.12010827,0.121519096,0.1262532,0.31370488,0.32211936,0.20809321,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,0.13122673,0.108538635,0.101715565,0.081588596,0.34215146,0.18099588,0.08995982,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.13207245,0.10974947,0.085467756,0.06927534,0.30955923,0.16338086,0.08754991,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.13138317,0.108209096,0.09245178,0.07237693,0.3157764,0.19575168,0.10480674,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.15202919,0.1348843,0.12699232,0.12257977,0.26373804,0.22005457,0.15413362,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.13588612,0.11432661,0.09467106,0.08094743,0.31879452,0.22566937,0.13202688,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
