"","var","code","label","whereClause"
"1","lc1","'8'","'Not relevant'",NA
"2","lc1","'A11'","'Buildings with 1 to 3 floors'",NA
"3","lc1","'A12'","'Buildings with more than 3 floors'",NA
"4","lc1","'A13'","'Greenhouses'",NA
"5","lc1","'A21'","'Non built-up area features'",NA
"6","lc1","'A22'","'Non built-up linear features'",NA
"7","lc1","'A30'","'Other artificial areas'",NA
"8","lc1","'B11'","'Common wheat'",NA
"9","lc1","'B12'","'Durum wheat'",NA
"10","lc1","'B13'","'Barley'",NA
"11","lc1","'B14'","'Rye'",NA
"12","lc1","'B15'","'Oats'",NA
"13","lc1","'B16'","'Maize'",NA
"14","lc1","'B17'","'Rice'",NA
"15","lc1","'B18'","'Triticale'",NA
"16","lc1","'B19'","'Other cereals'",NA
"17","lc1","'B21'","'Potatoes'",NA
"18","lc1","'B22'","'Sugar beet'",NA
"19","lc1","'B23'","'Other root crops'",NA
"20","lc1","'B31'","'Sunflower'",NA
"21","lc1","'B32'","'Rape and turnip rape'",NA
"22","lc1","'B33'","'Soya'",NA
"23","lc1","'B34'","'Cotton'",NA
"24","lc1","'B35'","'Other fibre and oleaginous crops'",NA
"25","lc1","'B36'","'Tobacco'",NA
"26","lc1","'B37'","'Other non-permanent industrial crops'",NA
"27","lc1","'B41'","'Dry pulses'",NA
"28","lc1","'B42'","'Tomatoes'",NA
"29","lc1","'B43'","'Other fresh vegetables'",NA
"30","lc1","'B44'","'Floriculture and ornamental plants'",NA
"31","lc1","'B45'","'Strawberries'",NA
"32","lc1","'B51'","'Clovers'",NA
"33","lc1","'B52'","'Lucerne'",NA
"34","lc1","'B53'","'Other leguminous and mixtures for fodder'",NA
"35","lc1","'B54'","'Mixed cereals for fodder'",NA
"36","lc1","'B55'","'Temporary grasslands'",NA
"37","lc1","'B71'","'Apple fruit'",NA
"38","lc1","'B72'","'Pear fruit'",NA
"39","lc1","'B73'","'Cherry fruit'",NA
"40","lc1","'B74'","'Nuts trees'",NA
"41","lc1","'B75'","'Other fruit trees and berries'",NA
"42","lc1","'B76'","'Oranges'",NA
"43","lc1","'B77'","'Other citrus fruit'",NA
"44","lc1","'B81'","'Olive groves'",NA
"45","lc1","'B82'","'Vineyards'",NA
"46","lc1","'B83'","'Nurseries'",NA
"47","lc1","'B84'","'Permanent industrial crops'",NA
"48","lc1","'BX1'","'Arable land (only PI)'",NA
"49","lc1","'BX2'","'Permanent crops (only PI)'",NA
"50","lc1","'C10'","'Broadleaved woodland'",NA
"51","lc1","'C21'","'Spruce dominated coniferous woodland'",NA
"52","lc1","'C22'","'Pine dominated coniferous woodland'",NA
"53","lc1","'C23'","'Other coniferous woodland'",NA
"54","lc1","'C31'","'Spruce dominated mixed woodland'",NA
"55","lc1","'C32'","'Pine dominated mixed woodland'",NA
"56","lc1","'C33'","'Other mixed woodland'",NA
"57","lc1","'D10'","'Shrubland with sparse tree cover'",NA
"58","lc1","'D20'","'Shrubland without tree cover'",NA
"59","lc1","'E10'","'Grassland with sparse tree/shrub cover'",NA
"60","lc1","'E20'","'Grassland without tree/shrub cover'",NA
"61","lc1","'E30'","'Spontaneously vegetated surfaces'",NA
"62","lc1","'F10'","'Rocks and stones'",NA
"63","lc1","'F20'","'Sand'",NA
"64","lc1","'F30'","'Lichens and moss'",NA
"65","lc1","'F40'","'Other bare soil'",NA
"66","lc1","'G11'","'Inland fresh water bodies'",NA
"67","lc1","'G12'","'Inland salty water bodies'",NA
"68","lc1","'G21'","'Inland fresh running water'",NA
"69","lc1","'G22'","'Inland salty running water'",NA
"70","lc1","'G30'","'Transitional water bodies'",NA
"71","lc1","'G40'","'Marine sea'",NA
"72","lc1","'G50'","'Glaciers, permanent snow'",NA
"73","lc1","'H11'","'Inland marshes'",NA
"74","lc1","'H12'","'Peatbogs'",NA
"75","lc1","'H21'","'Salt marshes'",NA
"76","lc1","'H22'","'Salines and other chemical deposits'",NA
"77","lc1","'H23'","'Intertidal flats'",NA
"78","lc2","'8'","'Not relevant'",NA
"79","lc2","'A11'","'Buildings with 1 to 3 floors'",NA
"80","lc2","'A12'","'Buildings with more than 3 floors'",NA
"81","lc2","'A13'","'Greenhouses'",NA
"82","lc2","'A21'","'Non built-up area features'",NA
"83","lc2","'A22'","'Non built-up linear features'",NA
