"","var","code","label","whereClause"
"1","cprn_lc","'8'","'Not relevant'",NA
"2","cprn_lc","'A1'","'Roofed build-up areas'",NA
"3","cprn_lc","'A2'","'Artificial non-built up areas'",NA
"4","cprn_lc","'A3'","'Other artificial areas'",NA
"5","cprn_lc","'B1'","'Cereals'",NA
"6","cprn_lc","'B2'","'Root crops'",NA
"7","cprn_lc","'B3'","'Non-permanent industrial crops'",NA
"8","cprn_lc","'B4'","'Dry pulses, vegetables and flowers'",NA
"9","cprn_lc","'B5'","'Fodder crops'",NA
"10","cprn_lc","'B7'","'Permanent crops: fruit trees'",NA
"11","cprn_lc","'B8'","'Other permanent crops'",NA
"12","cprn_lc","'C1'","'Broadleaved woodland'",NA
"13","cprn_lc","'C2'","'Coniferous woodland'",NA
"14","cprn_lc","'C3'","'Mixed woodland'",NA
"15","cprn_lc","'D1'","'Shrubland with sparse tree cover'",NA
"16","cprn_lc","'D2'","'Shrubland without tree cover'",NA
"17","cprn_lc","'E1'","'Grassland with sparse tree/shrub cover'",NA
"18","cprn_lc","'E2'","'Grassland without tree/shrub cover'",NA
"19","cprn_lc","'E3'","'Spontaneously re-vegetated surfaces'",NA
"20","cprn_lc","'F1'","'Rocks and stones'",NA
"21","cprn_lc","'F2'","'Sand'",NA
"22","cprn_lc","'F3'","'Lichens and moss'",NA
"23","cprn_lc","'F4'","'Other bare soil'",NA
"24","cprn_lc","'G1'","'Inland water bodies'",NA
"25","cprn_lc","'G2'","'Inland running water'",NA
"26","cprn_lc","'H1'","'Inland wetlands'",NA
"27","cprn_lc","'H2'","'Coastal wetlands'",NA
"28","lc1","'8'","'Not relevant'",NA
"29","lc1","'A11'","'Buildings with 1 to 3 floors'",NA
"30","lc1","'A12'","'Buildings with more than 3 floors'",NA
"31","lc1","'A13'","'Greenhouses'",NA
"32","lc1","'A21'","'Non built-up area features'",NA
"33","lc1","'A22'","'Non built-up linear features'",NA
"34","lc1","'A30'","'Other artificial areas'",NA
"35","lc1","'B11'","'Common wheat'",NA
"36","lc1","'B12'","'Durum wheat'",NA
"37","lc1","'B13'","'Barley'",NA
"38","lc1","'B14'","'Rye'",NA
"39","lc1","'B15'","'Oats'",NA
"40","lc1","'B16'","'Maize'",NA
"41","lc1","'B17'","'Rice'",NA
"42","lc1","'B18'","'Triticale'",NA
"43","lc1","'B19'","'Other cereals'",NA
"44","lc1","'B21'","'Potatoes'",NA
"45","lc1","'B22'","'Sugar beet'",NA
"46","lc1","'B23'","'Other root crops'",NA
"47","lc1","'B31'","'Sunflower'",NA
"48","lc1","'B32'","'Rape and turnip rape'",NA
"49","lc1","'B33'","'Soya'",NA
"50","lc1","'B34'","'Cotton'",NA
"51","lc1","'B35'","'Other fibre and oleaginous crops'",NA
"52","lc1","'B36'","'Tobacco'",NA
"53","lc1","'B37'","'Other non-permanent industrial crops'",NA
"54","lc1","'B41'","'Dry pulses'",NA
"55","lc1","'B42'","'Tomatoes'",NA
"56","lc1","'B43'","'Other fresh vegetables'",NA
"57","lc1","'B44'","'Floriculture and ornamental plants'",NA
"58","lc1","'B45'","'Strawberries'",NA
"59","lc1","'B51'","'Clovers'",NA
"60","lc1","'B52'","'Lucerne'",NA
"61","lc1","'B53'","'Other leguminous and mixtures for fodder'",NA
"62","lc1","'B54'","'Mixed cereals for fodder'",NA
"63","lc1","'B55'","'Temporary grasslands'",NA
"64","lc1","'B71'","'Apple fruit'",NA
"65","lc1","'B72'","'Pear fruit'",NA
"66","lc1","'B73'","'Cherry fruit'",NA
"67","lc1","'B74'","'Nuts trees'",NA
"68","lc1","'B75'","'Other fruit trees and berries'",NA
"69","lc1","'B76'","'Oranges'",NA
"70","lc1","'B77'","'Other citrus fruit'",NA
"71","lc1","'B81'","'Olive groves'",NA
"72","lc1","'B82'","'Vineyards'",NA
"73","lc1","'B83'","'Nurseries'",NA
"74","lc1","'B84'","'Permanent industrial crops'",NA
"75","lc1","'BX1'","'Arable land (only PI)'",NA
"76","lc1","'BX2'","'Permanent crops (only PI)'",NA
"77","lc1","'C10'","'Broadleaved woodland'",NA
"78","lc1","'C20'","'Coniferous woodland'",NA
"79","lc1","'C21'","'Spruce dominated coniferous woodland'",NA
"80","lc1","'C22'","'Pine dominated coniferous woodland'",NA
"81","lc1","'C23'","'Other coniferous woodland'",NA
"82","lc1","'C30'","'Mixed woodland'",NA
"83","lc1","'C31'","'Spruce dominated mixed woodland'",NA
"84","lc1","'C32'","'Pine dominated mixed woodland'",NA
"85","lc1","'C33'","'Other mixed woodland'",NA
"86","lc1","'D10'","'Shrubland with sparse tree cover'",NA
"87","lc1","'D20'","'Shrubland without tree cover'",NA
"88","lc1","'E10'","'Grassland with sparse tree/shrub cover'",NA
"89","lc1","'E20'","'Grassland without tree/shrub cover'",NA
"90","lc1","'E30'","'Spontaneously vegetated surfaces'",NA
"91","lc1","'F00'","'Bare land'",NA
"92","lc1","'F10'","'Rocks and stones'",NA
"93","lc1","'F20'","'Sand'",NA
"94","lc1","'F30'","'Lichens and moss'",NA
"95","lc1","'F40'","'Other bare soil'",NA
"96","lc1","'G10'","'Inland water bodies'",NA
"97","lc1","'G11'","'Inland fresh water bodies'",NA
"98","lc1","'G12'","'Inland salty water bodies'",NA
"99","lc1","'G20'","'Inland running water'",NA
"100","lc1","'G21'","'Inland fresh running water'",NA
"101","lc1","'G22'","'Inland salty running water'",NA
"102","lc1","'G30'","'Transitional water bodies'",NA
"103","lc1","'G40'","'Marine sea'",NA
"104","lc1","'G50'","'Glaciers, permanent snow'",NA
"105","lc1","'H11'","'Inland marshes'",NA
"106","lc1","'H12'","'Peatbogs'",NA
"107","lc1","'H21'","'Salt marshes'",NA
"108","lc1","'H22'","'Salines and other chemical deposits'",NA
"109","lc1","'H23'","'Intertidal flats'",NA
"110","lc1_spec","'8'","'Not relevant'",NA
"111","lc1_spec","'B19A'","'Sorghum (Sorghum bicolor)'",NA
