,variable,type,NR,values,documentation,Description,Comments,collection year
1,id,NA,NA,NA,NA,NA,NA,NA
2,point_id,INTEGER,-,-,"C1(Instructions), p.141, sec.9.1.1",Unique point identifier,,all
3,year,INTEGER,,-,,Which year the point was surveyed,,all
4,nuts0,VARCHAR(2),-,-,-,NUTS 2016 Level 0,,all
5,nuts1,VARCHAR(3),-,-,-,NUTS 2016 Level 1,,all
6,nuts2,VARCHAR(4),-,-,-,NUTS 2016 Level 2,,all
7,nuts3,VARCHAR(5),-,-,-,NUTS 2016 Level 3,,2018
8,th_lat,DECIMAL,88.888888,-,-,Theoretical latitude (WGS84) of the LUCAS point according to the LUCAS grid,,all
9,th_long,DECIMAL,88.888888,-,-,Theoretical longitude (WGS84) of the LUCAS point according to the LUCAS grid,,all
10,office_pi,INTEGER,-,"0 - No; 
1 - Yes;","C1(Instructions), p.141, sec.9.1.1",Indication of whether photo-interpretation has happened in the office for this LUCAS point,,2015 2018
11,ex_ante,INTEGER,-,"0 - No; 
1 - Yes;","C1(Instructions), p.141, sec.9.1.1",,,2018
12,survey_date,DATE,-,-,,Date on which the survey was carried out,,all
13,car_latitude,DECIMAL,,-,"C1(Instructions), p.141, sec.9.1.2",Latitude (WGS84) on which the car was parked,,2018
14,car_ew,INTEGER,,"1 - East; 
2 - West; 
8 - Not relevant;",,GPS Car parking East/West,,2018
15,car_longitude,DECIMAL,,-,"C1(Instructions), p.142, sec.9.1.2",Longitude (WGS84) on which the car was parked,,2018
16,gps_proj,INTEGER,,"1 - WGS84; 
2 - No GPS signal; 
8 - Not relevant;","C1(Instructions), p.142, sec.9.1.2",Normal functioning of GPS using “WGS 84” as coordinate system.,,all
17,gps_prec,INTEGER,,-,"C1(Instructions), p.142, sec.9.1.2",Indication of average location error as given by GPS receiver (in meters),,all
18,gps_altitude,INTEGER,,-,"C1(Instructions), p.141, sec.9.1.1",Elevation in m above sea level,,2009 2012 2015 2018
19,gps_lat,DECIMAL,,-,"C1(Instructions), p.142, sec.9.1.2",GPS latitude of the location from which observation is actually done (WGS84),,all
20,gps_ew,INTEGER,,"1 - East; 
2 – West;
8 – Not relevant;",,East-west encoding setting for GPS.,,all
