system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
0_0,0.18214232,0.17124973,0.16447878,0.17108314,0.2273445,0.21116367,0.16326536,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.13046327,0.10747743,0.08673987,0.06559403,0.27870786,0.1673963,0.08710298,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.13528192,0.11139032,0.099517405,0.08763287,0.26259518,0.17320734,0.10336562,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.13325877,0.10968966,0.10169901,0.069644205,0.43703842,0.19685991,0.09788038,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.1305769,0.105083935,0.08942427,0.061683882,0.35520715,0.17385748,0.07950034,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.13089465,0.10787703,0.0841382,0.065675065,0.30418545,0.1405296,0.06458446,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.12678558,0.10274528,0.08878147,0.060563598,0.3769967,0.14534077,0.065751426,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.12630442,0.102085546,0.08457526,0.065685734,0.33067062,0.18296756,0.09255352,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.12812084,0.10526522,0.095318414,0.07684674,0.40977153,0.16577458,0.075966835,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.13915479,0.11827668,0.116565354,0.11039226,0.33737776,0.23673032,0.14174786,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.1353631,0.11444776,0.10712779,0.10053997,0.3655565,0.230714,0.12643741,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.13475305,0.112089604,0.0950577,0.07681057,0.3457654,0.1783432,0.0913923,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.13022532,0.10676221,0.09013768,0.06494657,0.45652753,0.1756501,0.0785113,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.12924267,0.10694057,0.100473516,0.082318366,0.38230518,0.21168652,0.11952426,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.12727806,0.10433148,0.092893496,0.072678454,0.36578828,0.16503298,0.08981943,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.12557323,0.10040073,0.08234677,0.056624793,0.38860038,0.14671484,0.060529828,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.1327026,0.10862772,0.08845399,0.06720032,0.2627584,0.15958004,0.07966808,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.12926765,0.10339345,0.0815054,0.059849706,0.3562959,0.13231695,0.05104239,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.12635069,0.1010175,0.09329349,0.06706385,0.36531278,0.11415964,0.045046777,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.129718,0.10950084,0.095333755,0.089057796,0.25716877,0.12993115,0.07517052,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.12878178,0.10702998,0.09824317,0.0704709,0.36467874,0.16003647,0.073383674,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.13089259,0.106051266,0.08206546,0.057336673,0.29502428,0.11871268,0.047538623,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.13697907,0.1160323,0.090455525,0.08153307,0.21953794,0.13125901,0.058327395,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.123197235,0.09798831,0.07656361,0.05112003,0.37977502,0.109495886,0.046293054,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.1229911,0.09828755,0.07822898,0.05109243,0.42710236,0.14173962,0.054608442,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.13077354,0.10813607,0.09670207,0.08205421,0.32972485,0.1836733,0.08773288,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.13370685,0.11355559,0.10201337,0.083425686,0.30327767,0.1891042,0.105471745,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.12973964,0.10669519,0.09454282,0.06840137,0.35139418,0.19838314,0.09171797,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.13280457,0.10962655,0.0942924,0.07253699,0.34211075,0.16787311,0.07079741,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.12969774,0.11244589,0.10580843,0.084775075,0.27642074,0.15674716,0.080905795,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.12816653,0.10707152,0.10110512,0.08823879,0.2916331,0.2021918,0.11477135,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.1252507,0.10245301,0.09505206,0.0699151,0.35085666,0.22235712,0.108289555,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.12670523,0.1016815,0.08499559,0.056346796,0.33229342,0.16393387,0.07323691,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.132622,0.11336258,0.09374723,0.072691426,0.329211,0.1562556,0.08648598,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.12652245,0.10079938,0.07867092,0.054712858,0.2998777,0.14967948,0.07082849,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.11873242,0.09475612,0.07865444,0.056162674,0.28281006,0.16537894,0.074073076,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.12526844,0.09919167,0.080763884,0.05072599,0.3603248,0.1364996,0.050584357,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.12725568,0.103761174,0.087305084,0.063677885,0.28371796,0.15987386,0.07988532,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.13519815,0.11232535,0.09793267,0.07578794,0.38979873,0.16949904,0.078657,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.12507887,0.09998304,0.0845663,0.062170267,0.25606242,0.14941801,0.075977035,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.13531479,0.11361919,0.09742682,0.07558842,0.31112084,0.18804888,0.093794815,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.13666849,0.115442924,0.09787692,0.082664646,0.29869872,0.22030261,0.12035114,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.13317354,0.114395194,0.11021375,0.097060956,0.31970188,0.21608888,0.1280284,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.13523918,0.10711916,0.09353771,0.072606,0.1717788,0.109762214,0.065894604,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.13178764,0.10873254,0.097594574,0.07447108,0.3239373,0.19648096,0.106533,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.13073745,0.10866752,0.09612186,0.075190514,0.31535476,0.19354823,0.10706341,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.124697424,0.102237135,0.08578124,0.06041912,0.25012368,0.16286089,0.08264701,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.12737542,0.10506715,0.08766849,0.066783525,0.28210244,0.15514953,0.07976793,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.12962028,0.10758935,0.090063,0.0697756,0.29004088,0.17846917,0.08980109,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.13097316,0.11126546,0.103936315,0.08112865,0.2784656,0.16924773,0.08909981,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.13077289,0.113153614,0.11040598,0.099067636,0.33215562,0.23015559,0.1353651,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.12301948,0.10050339,0.08251971,0.05457211,0.26968712,0.1617171,0.06845847,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.13330756,0.11151887,0.09552933,0.0739364,0.26236185,0.17004625,0.087138355,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.11894879,0.093177386,0.06462162,0.039591014,0.18130514,0.076772824,0.038618684,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.12547582,0.102137975,0.09206015,0.06857271,0.37275878,0.23053929,0.12313764,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.12092543,0.09555436,0.08108083,0.05399871,0.4398362,0.18663,0.07171135,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.12906985,0.10370663,0.07553482,0.057569433,0.21170199,0.16186681,0.07594954,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.12916997,0.105854206,0.08062558,0.060024228,0.4258753,0.17261264,0.080297746,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.1242155,0.095686726,0.065307386,0.04610694,0.16957466,0.07695918,0.04293426,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.1244683,0.09911195,0.07314365,0.055081468,0.23457325,0.1404797,0.064384334,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.12365269,0.098882124,0.08350012,0.053548664,0.3517658,0.17343797,0.06866567,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.11686588,0.092463255,0.0685118,0.04246993,0.16225913,0.084584035,0.03715936,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.12299047,0.098513074,0.07925753,0.051133327,0.34523717,0.16359869,0.0633996,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.12392405,0.09595026,0.07043893,0.049361695,0.19410661,0.09909163,0.062763184,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.12688218,0.102038026,0.08026941,0.05413114,0.31513673,0.12773108,0.05830011,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.1352426,0.117030405,0.09951063,0.08210794,0.3998292,0.13082969,0.063499,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.12245132,0.0985305,0.08060363,0.057894185,0.3244161,0.17088175,0.08221854,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.13481838,0.10966308,0.07206834,0.043832336,0.122627854,0.044873696,0.027934343,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.11449037,0.09009608,0.07388283,0.0505389,0.35646856,0.16850828,0.07441376,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.11949905,0.09717854,0.07805392,0.05104053,0.37908188,0.18404666,0.07351968,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.12260387,0.09730581,0.08030029,0.05259368,0.37761503,0.18494354,0.074459285,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.121545196,0.09807843,0.08639121,0.055865206,0.4173535,0.20195921,0.081075415,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
